model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
ru_modern_bert_base,0.08,0.32,0.6000000000000001,0.709
ru_modern_bert_base,0.08,0.34,0.5800000000000001,0.7077
ru_modern_bert_base,0.08,0.36,0.56,0.706
ru_modern_bert_base,0.08,0.38,0.54,0.7053
ru_modern_bert_base,0.08,0.4,0.52,0.705
ru_modern_bert_base,0.08,0.42,0.5,0.7047
ru_modern_bert_base,0.08,0.44,0.48000000000000004,0.7035999999999999
ru_modern_bert_base,0.08,0.46,0.46,0.7021
ru_modern_bert_base,0.08,0.48,0.44000000000000006,0.7022
ru_modern_bert_base,0.08,0.5,0.42000000000000004,0.7011000000000001
ru_modern_bert_base,0.08,0.52,0.4,0.6999000000000001
ru_modern_bert_base,0.08,0.54,0.38,0.6992999999999999
ru_modern_bert_base,0.08,0.56,0.36,0.6981
ru_modern_bert_base,0.08,0.58,0.3400000000000001,0.697
ru_modern_bert_base,0.08,0.6,0.32000000000000006,0.6963
ru_modern_bert_base,0.08,0.62,0.30000000000000004,0.6962999999999999
ru_modern_bert_base,0.08,0.64,0.28,0.6958
ru_modern_bert_base,0.08,0.66,0.26,0.6956
ru_modern_bert_base,0.08,0.68,0.24,0.695
ru_modern_bert_base,0.08,0.7000000000000001,0.21999999999999997,0.6947000000000001
ru_modern_bert_base,0.08,0.72,0.20000000000000007,0.6939000000000001
ru_modern_bert_base,0.08,0.74,0.18000000000000005,0.6935
ru_modern_bert_base,0.08,0.76,0.16000000000000003,0.6928
ru_modern_bert_base,0.08,0.78,0.14,0.6924000000000001
ru_modern_bert_base,0.08,0.8,0.12,0.692
ru_modern_bert_base,0.08,0.8200000000000001,0.09999999999999998,0.6911999999999999
ru_modern_bert_base,0.08,0.84,0.08000000000000007,0.6907000000000001
ru_modern_bert_base,0.08,0.86,0.06000000000000005,0.6902999999999999
ru_modern_bert_base,0.08,0.88,0.040000000000000036,0.6898
ru_modern_bert_base,0.08,0.9,0.020000000000000018,0.6897000000000001
ru_modern_bert_base,0.08,0.92,0.0,0.6865999999999999
ru_modern_bert_base,0.1,0.0,0.9,0.7240999999999999
ru_modern_bert_base,0.1,0.02,0.88,0.7235
ru_modern_bert_base,0.1,0.04,0.86,0.7251000000000001
ru_modern_bert_base,0.1,0.06,0.8400000000000001,0.7243999999999999
ru_modern_bert_base,0.1,0.08,0.8200000000000001,0.7246
ru_modern_bert_base,0.1,0.1,0.8,0.7227
ru_modern_bert_base,0.1,0.12,0.78,0.7204
ru_modern_bert_base,0.1,0.14,0.76,0.72
ru_modern_bert_base,0.1,0.16,0.74,0.7176999999999999
ru_modern_bert_base,0.1,0.18,0.72,0.7166
ru_modern_bert_base,0.1,0.2,0.7,0.7157
ru_modern_bert_base,0.1,0.22,0.68,0.7152000000000001
ru_modern_bert_base,0.1,0.24,0.66,0.714
ru_modern_bert_base,0.1,0.26,0.64,0.7119
ru_modern_bert_base,0.1,0.28,0.62,0.7105
ru_modern_bert_base,0.1,0.3,0.6000000000000001,0.7093
ru_modern_bert_base,0.1,0.32,0.5800000000000001,0.7077
ru_modern_bert_base,0.1,0.34,0.56,0.7066
ru_modern_bert_base,0.1,0.36,0.54,0.7054
ru_modern_bert_base,0.1,0.38,0.52,0.7048
ru_modern_bert_base,0.1,0.4,0.5,0.7047
ru_modern_bert_base,0.1,0.42,0.48000000000000004,0.7034
ru_modern_bert_base,0.1,0.44,0.46,0.7025
ru_modern_bert_base,0.1,0.46,0.44,0.7014
ru_modern_bert_base,0.1,0.48,0.42000000000000004,0.7015
ru_modern_bert_base,0.1,0.5,0.4,0.6999000000000001
ru_modern_bert_base,0.1,0.52,0.38,0.6992
ru_modern_bert_base,0.1,0.54,0.36,0.6983
ru_modern_bert_base,0.1,0.56,0.33999999999999997,0.6972999999999999
ru_modern_bert_base,0.1,0.58,0.32000000000000006,0.6969
ru_modern_bert_base,0.1,0.6,0.30000000000000004,0.6966
ru_modern_bert_base,0.1,0.62,0.28,0.696
ru_modern_bert_base,0.1,0.64,0.26,0.6955
ru_modern_bert_base,0.1,0.66,0.24,0.6952
ru_modern_bert_base,0.1,0.68,0.21999999999999997,0.6945999999999999
ru_modern_bert_base,0.1,0.7000000000000001,0.19999999999999996,0.694
ru_modern_bert_base,0.1,0.72,0.18000000000000005,0.6932999999999999
ru_modern_bert_base,0.1,0.74,0.16000000000000003,0.6928
ru_modern_bert_base,0.1,0.76,0.14,0.6925
ru_modern_bert_base,0.1,0.78,0.12,0.6925
ru_modern_bert_base,0.1,0.8,0.09999999999999998,0.6916000000000001
ru_modern_bert_base,0.1,0.8200000000000001,0.07999999999999996,0.6911
ru_modern_bert_base,0.1,0.84,0.06000000000000005,0.6904000000000001
ru_modern_bert_base,0.1,0.86,0.040000000000000036,0.6900999999999999
ru_modern_bert_base,0.1,0.88,0.020000000000000018,0.6897000000000001
ru_modern_bert_base,0.1,0.9,0.0,0.6862999999999999
ru_modern_bert_base,0.12,0.0,0.88,0.7239
ru_modern_bert_base,0.12,0.02,0.86,0.7247
ru_modern_bert_base,0.12,0.04,0.84,0.725
ru_modern_bert_base,0.12,0.06,0.8200000000000001,0.724
ru_modern_bert_base,0.12,0.08,0.8,0.7232999999999999
ru_modern_bert_base,0.12,0.1,0.78,0.7212999999999999
ru_modern_bert_base,0.12,0.12,0.76,0.7201000000000001
ru_modern_bert_base,0.12,0.14,0.74,0.7178
ru_modern_bert_base,0.12,0.16,0.72,0.7172000000000001
ru_modern_bert_base,0.12,0.18,0.7,0.7152000000000001
ru_modern_bert_base,0.12,0.2,0.6799999999999999,0.7148
ru_modern_bert_base,0.12,0.22,0.66,0.7139
ru_modern_bert_base,0.12,0.24,0.64,0.7124000000000001
ru_modern_bert_base,0.12,0.26,0.62,0.7102999999999999
ru_modern_bert_base,0.12,0.28,0.6,0.7095999999999999
ru_modern_bert_base,0.12,0.3,0.5800000000000001,0.7085
ru_modern_bert_base,0.12,0.32,0.56,0.7072999999999999
ru_modern_bert_base,0.12,0.34,0.54,0.7052999999999999
ru_modern_bert_base,0.12,0.36,0.52,0.7045
ru_modern_bert_base,0.12,0.38,0.5,0.7036999999999999
ru_modern_bert_base,0.12,0.4,0.48,0.7031
ru_modern_bert_base,0.12,0.42,0.46,0.702
ru_modern_bert_base,0.12,0.44,0.44,0.7013
ru_modern_bert_base,0.12,0.46,0.42,0.7012999999999999
ru_modern_bert_base,0.12,0.48,0.4,0.6997000000000001
ru_modern_bert_base,0.12,0.5,0.38,0.6986
ru_modern_bert_base,0.12,0.52,0.36,0.6982
ru_modern_bert_base,0.12,0.54,0.33999999999999997,0.6976
ru_modern_bert_base,0.12,0.56,0.31999999999999995,0.6966
ru_modern_bert_base,0.12,0.58,0.30000000000000004,0.6960999999999999
ru_modern_bert_base,0.12,0.6,0.28,0.6962
ru_modern_bert_base,0.12,0.62,0.26,0.6956
ru_modern_bert_base,0.12,0.64,0.24,0.6952
ru_modern_bert_base,0.12,0.66,0.21999999999999997,0.6944
ru_modern_bert_base,0.12,0.68,0.19999999999999996,0.694
ru_modern_bert_base,0.12,0.7000000000000001,0.17999999999999994,0.6935
ru_modern_bert_base,0.12,0.72,0.16000000000000003,0.6927
ru_modern_bert_base,0.12,0.74,0.14,0.6925
ru_modern_bert_base,0.12,0.76,0.12,0.6920999999999999
ru_modern_bert_base,0.12,0.78,0.09999999999999998,0.6916000000000001
ru_modern_bert_base,0.12,0.8,0.07999999999999996,0.6912
ru_modern_bert_base,0.12,0.8200000000000001,0.05999999999999994,0.691
ru_modern_bert_base,0.12,0.84,0.040000000000000036,0.6906
ru_modern_bert_base,0.12,0.86,0.020000000000000018,0.6899
ru_modern_bert_base,0.12,0.88,0.0,0.6869
ru_modern_bert_base,0.14,0.0,0.86,0.7237
ru_modern_bert_base,0.14,0.02,0.84,0.7237
ru_modern_bert_base,0.14,0.04,0.82,0.7238
ru_modern_bert_base,0.14,0.06,0.8,0.7230999999999999
ru_modern_bert_base,0.14,0.08,0.78,0.7209000000000001
ru_modern_bert_base,0.14,0.1,0.76,0.7198000000000001
ru_modern_bert_base,0.14,0.12,0.74,0.7191
ru_modern_bert_base,0.14,0.14,0.72,0.7167
ru_modern_bert_base,0.14,0.16,0.7,0.7154
ru_modern_bert_base,0.14,0.18,0.6799999999999999,0.7146
ru_modern_bert_base,0.14,0.2,0.6599999999999999,0.7136
ru_modern_bert_base,0.14,0.22,0.64,0.7122
ru_modern_bert_base,0.14,0.24,0.62,0.7108000000000001
ru_modern_bert_base,0.14,0.26,0.6,0.7098
ru_modern_bert_base,0.14,0.28,0.58,0.7086
ru_modern_bert_base,0.14,0.3,0.56,0.7071000000000001
ru_modern_bert_base,0.14,0.32,0.54,0.7058000000000001
ru_modern_bert_base,0.14,0.34,0.52,0.7045
ru_modern_bert_base,0.14,0.36,0.5,0.7038000000000001
ru_modern_bert_base,0.14,0.38,0.48,0.7029999999999998
ru_modern_bert_base,0.14,0.4,0.45999999999999996,0.7021000000000001
ru_modern_bert_base,0.14,0.42,0.44,0.7007000000000001
ru_modern_bert_base,0.14,0.44,0.42,0.7007000000000001
ru_modern_bert_base,0.14,0.46,0.39999999999999997,0.6996
ru_modern_bert_base,0.14,0.48,0.38,0.6985
ru_modern_bert_base,0.14,0.5,0.36,0.6982
ru_modern_bert_base,0.14,0.52,0.33999999999999997,0.6977000000000001
ru_modern_bert_base,0.14,0.54,0.31999999999999995,0.6969000000000001
ru_modern_bert_base,0.14,0.56,0.29999999999999993,0.6965
ru_modern_bert_base,0.14,0.58,0.28,0.6960999999999999
ru_modern_bert_base,0.14,0.6,0.26,0.6959
ru_modern_bert_base,0.14,0.62,0.24,0.6954
ru_modern_bert_base,0.14,0.64,0.21999999999999997,0.695
ru_modern_bert_base,0.14,0.66,0.19999999999999996,0.6942
ru_modern_bert_base,0.14,0.68,0.17999999999999994,0.6937000000000001
ru_modern_bert_base,0.14,0.7000000000000001,0.15999999999999992,0.693
ru_modern_bert_base,0.14,0.72,0.14,0.6926
ru_modern_bert_base,0.14,0.74,0.12,0.6922999999999999
ru_modern_bert_base,0.14,0.76,0.09999999999999998,0.6916
ru_modern_bert_base,0.14,0.78,0.07999999999999996,0.6915
ru_modern_bert_base,0.14,0.8,0.05999999999999994,0.6912999999999999
ru_modern_bert_base,0.14,0.8200000000000001,0.039999999999999925,0.6909000000000001
ru_modern_bert_base,0.14,0.84,0.020000000000000018,0.6901999999999999
ru_modern_bert_base,0.14,0.86,0.0,0.6871
ru_modern_bert_base,0.16,0.0,0.84,0.7234
ru_modern_bert_base,0.16,0.02,0.82,0.723
ru_modern_bert_base,0.16,0.04,0.7999999999999999,0.7234
ru_modern_bert_base,0.16,0.06,0.78,0.7215
ru_modern_bert_base,0.16,0.08,0.76,0.7203999999999998
ru_modern_bert_base,0.16,0.1,0.74,0.7191000000000001
ru_modern_bert_base,0.16,0.12,0.72,0.717
ru_modern_bert_base,0.16,0.14,0.7,0.7157
ru_modern_bert_base,0.16,0.16,0.6799999999999999,0.7148
ru_modern_bert_base,0.16,0.18,0.6599999999999999,0.7137
ru_modern_bert_base,0.16,0.2,0.6399999999999999,0.712
ru_modern_bert_base,0.16,0.22,0.62,0.7108
ru_modern_bert_base,0.16,0.24,0.6,0.7095
ru_modern_bert_base,0.16,0.26,0.58,0.7075999999999999
ru_modern_bert_base,0.16,0.28,0.5599999999999999,0.7065
ru_modern_bert_base,0.16,0.3,0.54,0.7056
ru_modern_bert_base,0.16,0.32,0.52,0.7047
ru_modern_bert_base,0.16,0.34,0.49999999999999994,0.7039
ru_modern_bert_base,0.16,0.36,0.48,0.7029000000000001
