model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert_nlu_ru,0.08,0.22,0.7000000000000001,0.7424000000000001
sbert_nlu_ru,0.08,0.24,0.68,0.7414
sbert_nlu_ru,0.08,0.26,0.66,0.741
sbert_nlu_ru,0.08,0.28,0.64,0.7407999999999999
sbert_nlu_ru,0.08,0.3,0.6200000000000001,0.7390999999999999
sbert_nlu_ru,0.08,0.32,0.6000000000000001,0.7379000000000001
sbert_nlu_ru,0.08,0.34,0.5800000000000001,0.7371000000000001
sbert_nlu_ru,0.08,0.36,0.56,0.7357
sbert_nlu_ru,0.08,0.38,0.54,0.7342000000000001
sbert_nlu_ru,0.08,0.4,0.52,0.7324
sbert_nlu_ru,0.08,0.42,0.5,0.7307
sbert_nlu_ru,0.08,0.44,0.48000000000000004,0.7285
sbert_nlu_ru,0.08,0.46,0.46,0.7268999999999999
sbert_nlu_ru,0.08,0.48,0.44000000000000006,0.7245
sbert_nlu_ru,0.08,0.5,0.42000000000000004,0.7230999999999999
sbert_nlu_ru,0.08,0.52,0.4,0.7217
sbert_nlu_ru,0.08,0.54,0.38,0.7198
sbert_nlu_ru,0.08,0.56,0.36,0.7185
sbert_nlu_ru,0.08,0.58,0.3400000000000001,0.7175
sbert_nlu_ru,0.08,0.6,0.32000000000000006,0.716
sbert_nlu_ru,0.08,0.62,0.30000000000000004,0.7145
sbert_nlu_ru,0.08,0.64,0.28,0.7132000000000001
sbert_nlu_ru,0.08,0.66,0.26,0.7116999999999999
sbert_nlu_ru,0.08,0.68,0.24,0.7097
sbert_nlu_ru,0.08,0.7000000000000001,0.21999999999999997,0.7072999999999999
sbert_nlu_ru,0.08,0.72,0.20000000000000007,0.7052
sbert_nlu_ru,0.08,0.74,0.18000000000000005,0.7042
sbert_nlu_ru,0.08,0.76,0.16000000000000003,0.7029
sbert_nlu_ru,0.08,0.78,0.14,0.7015
sbert_nlu_ru,0.08,0.8,0.12,0.6991
sbert_nlu_ru,0.08,0.8200000000000001,0.09999999999999998,0.697
sbert_nlu_ru,0.08,0.84,0.08000000000000007,0.6957000000000001
sbert_nlu_ru,0.08,0.86,0.06000000000000005,0.6937000000000001
sbert_nlu_ru,0.08,0.88,0.040000000000000036,0.6922
sbert_nlu_ru,0.08,0.9,0.020000000000000018,0.6911
sbert_nlu_ru,0.08,0.92,0.0,0.6865999999999999
sbert_nlu_ru,0.1,0.0,0.9,0.7458
sbert_nlu_ru,0.1,0.02,0.88,0.7507
sbert_nlu_ru,0.1,0.04,0.86,0.7524
sbert_nlu_ru,0.1,0.06,0.8400000000000001,0.7527
sbert_nlu_ru,0.1,0.08,0.8200000000000001,0.7517999999999999
sbert_nlu_ru,0.1,0.1,0.8,0.7516
sbert_nlu_ru,0.1,0.12,0.78,0.7497999999999999
sbert_nlu_ru,0.1,0.14,0.76,0.7487
sbert_nlu_ru,0.1,0.16,0.74,0.7476
sbert_nlu_ru,0.1,0.18,0.72,0.7451
sbert_nlu_ru,0.1,0.2,0.7,0.7432000000000001
sbert_nlu_ru,0.1,0.22,0.68,0.7407
sbert_nlu_ru,0.1,0.24,0.66,0.7411000000000001
sbert_nlu_ru,0.1,0.26,0.64,0.7403
sbert_nlu_ru,0.1,0.28,0.62,0.7396
sbert_nlu_ru,0.1,0.3,0.6000000000000001,0.7384000000000001
sbert_nlu_ru,0.1,0.32,0.5800000000000001,0.7374
sbert_nlu_ru,0.1,0.34,0.56,0.736
sbert_nlu_ru,0.1,0.36,0.54,0.7348
sbert_nlu_ru,0.1,0.38,0.52,0.7327
sbert_nlu_ru,0.1,0.4,0.5,0.7308
sbert_nlu_ru,0.1,0.42,0.48000000000000004,0.7281
sbert_nlu_ru,0.1,0.44,0.46,0.7272000000000001
sbert_nlu_ru,0.1,0.46,0.44,0.7251000000000001
sbert_nlu_ru,0.1,0.48,0.42000000000000004,0.7236
sbert_nlu_ru,0.1,0.5,0.4,0.7218
sbert_nlu_ru,0.1,0.52,0.38,0.7205999999999999
sbert_nlu_ru,0.1,0.54,0.36,0.7186
sbert_nlu_ru,0.1,0.56,0.33999999999999997,0.7177
sbert_nlu_ru,0.1,0.58,0.32000000000000006,0.7163999999999999
sbert_nlu_ru,0.1,0.6,0.30000000000000004,0.715
sbert_nlu_ru,0.1,0.62,0.28,0.7136
sbert_nlu_ru,0.1,0.64,0.26,0.7116
sbert_nlu_ru,0.1,0.66,0.24,0.7096
sbert_nlu_ru,0.1,0.68,0.21999999999999997,0.7074000000000001
sbert_nlu_ru,0.1,0.7000000000000001,0.19999999999999996,0.7055
sbert_nlu_ru,0.1,0.72,0.18000000000000005,0.7041
sbert_nlu_ru,0.1,0.74,0.16000000000000003,0.7028
sbert_nlu_ru,0.1,0.76,0.14,0.7011000000000001
sbert_nlu_ru,0.1,0.78,0.12,0.6993
sbert_nlu_ru,0.1,0.8,0.09999999999999998,0.6976
sbert_nlu_ru,0.1,0.8200000000000001,0.07999999999999996,0.6958
sbert_nlu_ru,0.1,0.84,0.06000000000000005,0.6939000000000001
sbert_nlu_ru,0.1,0.86,0.040000000000000036,0.6921999999999999
sbert_nlu_ru,0.1,0.88,0.020000000000000018,0.6914000000000001
sbert_nlu_ru,0.1,0.9,0.0,0.6862999999999999
sbert_nlu_ru,0.12,0.0,0.88,0.7496
sbert_nlu_ru,0.12,0.02,0.86,0.7522000000000001
sbert_nlu_ru,0.12,0.04,0.84,0.753
sbert_nlu_ru,0.12,0.06,0.8200000000000001,0.7526
sbert_nlu_ru,0.12,0.08,0.8,0.7510000000000001
sbert_nlu_ru,0.12,0.1,0.78,0.7494000000000001
sbert_nlu_ru,0.12,0.12,0.76,0.7487
sbert_nlu_ru,0.12,0.14,0.74,0.748
sbert_nlu_ru,0.12,0.16,0.72,0.7448
sbert_nlu_ru,0.12,0.18,0.7,0.7432000000000001
sbert_nlu_ru,0.12,0.2,0.6799999999999999,0.7412
sbert_nlu_ru,0.12,0.22,0.66,0.7411
sbert_nlu_ru,0.12,0.24,0.64,0.7409
sbert_nlu_ru,0.12,0.26,0.62,0.7397999999999999
sbert_nlu_ru,0.12,0.28,0.6,0.7389000000000001
sbert_nlu_ru,0.12,0.3,0.5800000000000001,0.7375
sbert_nlu_ru,0.12,0.32,0.56,0.7358
sbert_nlu_ru,0.12,0.34,0.54,0.7351
sbert_nlu_ru,0.12,0.36,0.52,0.7328
sbert_nlu_ru,0.12,0.38,0.5,0.7307
sbert_nlu_ru,0.12,0.4,0.48,0.7282000000000001
sbert_nlu_ru,0.12,0.42,0.46,0.7277
sbert_nlu_ru,0.12,0.44,0.44,0.7251000000000001
sbert_nlu_ru,0.12,0.46,0.42,0.7239
sbert_nlu_ru,0.12,0.48,0.4,0.7222000000000001
sbert_nlu_ru,0.12,0.5,0.38,0.7209
sbert_nlu_ru,0.12,0.52,0.36,0.7186
sbert_nlu_ru,0.12,0.54,0.33999999999999997,0.7179000000000001
sbert_nlu_ru,0.12,0.56,0.31999999999999995,0.7167
sbert_nlu_ru,0.12,0.58,0.30000000000000004,0.7157
sbert_nlu_ru,0.12,0.6,0.28,0.7141000000000001
sbert_nlu_ru,0.12,0.62,0.26,0.7115
sbert_nlu_ru,0.12,0.64,0.24,0.7092
sbert_nlu_ru,0.12,0.66,0.21999999999999997,0.7077
sbert_nlu_ru,0.12,0.68,0.19999999999999996,0.7056999999999999
sbert_nlu_ru,0.12,0.7000000000000001,0.17999999999999994,0.704
sbert_nlu_ru,0.12,0.72,0.16000000000000003,0.7029
sbert_nlu_ru,0.12,0.74,0.14,0.7009000000000001
sbert_nlu_ru,0.12,0.76,0.12,0.6991
sbert_nlu_ru,0.12,0.78,0.09999999999999998,0.6978
sbert_nlu_ru,0.12,0.8,0.07999999999999996,0.6957000000000001
sbert_nlu_ru,0.12,0.8200000000000001,0.05999999999999994,0.6937000000000001
sbert_nlu_ru,0.12,0.84,0.040000000000000036,0.6925
sbert_nlu_ru,0.12,0.86,0.020000000000000018,0.6918
sbert_nlu_ru,0.12,0.88,0.0,0.6869
sbert_nlu_ru,0.14,0.0,0.86,0.7525
sbert_nlu_ru,0.14,0.02,0.84,0.7532000000000001
sbert_nlu_ru,0.14,0.04,0.82,0.7524
sbert_nlu_ru,0.14,0.06,0.8,0.7512000000000001
sbert_nlu_ru,0.14,0.08,0.78,0.7497
sbert_nlu_ru,0.14,0.1,0.76,0.7482000000000001
sbert_nlu_ru,0.14,0.12,0.74,0.7479
sbert_nlu_ru,0.14,0.14,0.72,0.7452000000000001
sbert_nlu_ru,0.14,0.16,0.7,0.7431
sbert_nlu_ru,0.14,0.18,0.6799999999999999,0.7412
sbert_nlu_ru,0.14,0.2,0.6599999999999999,0.7407
sbert_nlu_ru,0.14,0.22,0.64,0.7402000000000001
sbert_nlu_ru,0.14,0.24,0.62,0.7403
sbert_nlu_ru,0.14,0.26,0.6,0.7384000000000001
sbert_nlu_ru,0.14,0.28,0.58,0.7372000000000001
sbert_nlu_ru,0.14,0.3,0.56,0.7357
sbert_nlu_ru,0.14,0.32,0.54,0.7348
sbert_nlu_ru,0.14,0.34,0.52,0.7329
sbert_nlu_ru,0.14,0.36,0.5,0.7307
sbert_nlu_ru,0.14,0.38,0.48,0.7293000000000001
sbert_nlu_ru,0.14,0.4,0.45999999999999996,0.728
sbert_nlu_ru,0.14,0.42,0.44,0.7263999999999999
sbert_nlu_ru,0.14,0.44,0.42,0.7243999999999999
sbert_nlu_ru,0.14,0.46,0.39999999999999997,0.7225
sbert_nlu_ru,0.14,0.48,0.38,0.721
sbert_nlu_ru,0.14,0.5,0.36,0.7194
sbert_nlu_ru,0.14,0.52,0.33999999999999997,0.7183999999999999
sbert_nlu_ru,0.14,0.54,0.31999999999999995,0.7169000000000001
sbert_nlu_ru,0.14,0.56,0.29999999999999993,0.7154
sbert_nlu_ru,0.14,0.58,0.28,0.7138
sbert_nlu_ru,0.14,0.6,0.26,0.7118000000000001
sbert_nlu_ru,0.14,0.62,0.24,0.7099000000000001
sbert_nlu_ru,0.14,0.64,0.21999999999999997,0.7078
sbert_nlu_ru,0.14,0.66,0.19999999999999996,0.7054
sbert_nlu_ru,0.14,0.68,0.17999999999999994,0.7042999999999999
sbert_nlu_ru,0.14,0.7000000000000001,0.15999999999999992,0.7028
sbert_nlu_ru,0.14,0.72,0.14,0.7008000000000001
sbert_nlu_ru,0.14,0.74,0.12,0.6992
sbert_nlu_ru,0.14,0.76,0.09999999999999998,0.6978
sbert_nlu_ru,0.14,0.78,0.07999999999999996,0.6962
sbert_nlu_ru,0.14,0.8,0.05999999999999994,0.6942
sbert_nlu_ru,0.14,0.8200000000000001,0.039999999999999925,0.6925
sbert_nlu_ru,0.14,0.84,0.020000000000000018,0.6916
sbert_nlu_ru,0.14,0.86,0.0,0.6871
sbert_nlu_ru,0.16,0.0,0.84,0.7534000000000001
sbert_nlu_ru,0.16,0.02,0.82,0.7528
sbert_nlu_ru,0.16,0.04,0.7999999999999999,0.7517
sbert_nlu_ru,0.16,0.06,0.78,0.7495
sbert_nlu_ru,0.16,0.08,0.76,0.7483000000000001
sbert_nlu_ru,0.16,0.1,0.74,0.7474
sbert_nlu_ru,0.16,0.12,0.72,0.7457999999999999
sbert_nlu_ru,0.16,0.14,0.7,0.7436
sbert_nlu_ru,0.16,0.16,0.6799999999999999,0.7416
sbert_nlu_ru,0.16,0.18,0.6599999999999999,0.7405
sbert_nlu_ru,0.16,0.2,0.6399999999999999,0.7402000000000001
sbert_nlu_ru,0.16,0.22,0.62,0.7396
sbert_nlu_ru,0.16,0.24,0.6,0.7386
sbert_nlu_ru,0.16,0.26,0.58,0.7367
sbert_nlu_ru,0.16,0.28,0.5599999999999999,0.7357
sbert_nlu_ru,0.16,0.3,0.54,0.7349000000000001
sbert_nlu_ru,0.16,0.32,0.52,0.7325
sbert_nlu_ru,0.16,0.34,0.49999999999999994,0.7306
sbert_nlu_ru,0.16,0.36,0.48,0.7291
sbert_nlu_ru,0.16,0.38,0.45999999999999996,0.7277
sbert_nlu_ru,0.16,0.4,0.43999999999999995,0.7267
sbert_nlu_ru,0.16,0.42,0.42,0.7249000000000001
sbert_nlu_ru,0.16,0.44,0.39999999999999997,0.7223999999999999
sbert_nlu_ru,0.16,0.46,0.37999999999999995,0.7212000000000001
sbert_nlu_ru,0.16,0.48,0.36,0.7195
sbert_nlu_ru,0.16,0.5,0.33999999999999997,0.7187
sbert_nlu_ru,0.16,0.52,0.31999999999999995,0.7173999999999999
sbert_nlu_ru,0.16,0.54,0.29999999999999993,0.7151
sbert_nlu_ru,0.16,0.56,0.2799999999999999,0.7137
sbert_nlu_ru,0.16,0.58,0.26,0.7121000000000001
sbert_nlu_ru,0.16,0.6,0.24,0.7102999999999999
sbert_nlu_ru,0.16,0.62,0.21999999999999997,0.7079
sbert_nlu_ru,0.16,0.64,0.19999999999999996,0.7055
sbert_nlu_ru,0.16,0.66,0.17999999999999994,0.7044
sbert_nlu_ru,0.16,0.68,0.15999999999999992,0.703
sbert_nlu_ru,0.16,0.7000000000000001,0.1399999999999999,0.7007000000000001
sbert_nlu_ru,0.16,0.72,0.12,0.6994
sbert_nlu_ru,0.16,0.74,0.09999999999999998,0.6985
sbert_nlu_ru,0.16,0.76,0.07999999999999996,0.6965
sbert_nlu_ru,0.16,0.78,0.05999999999999994,0.6951
sbert_nlu_ru,0.16,0.8,0.039999999999999925,0.6928
sbert_nlu_ru,0.16,0.8200000000000001,0.019999999999999907,0.692
sbert_nlu_ru,0.16,0.84,0.0,0.6869
sbert_nlu_ru,0.18,0.0,0.8200000000000001,0.7526
sbert_nlu_ru,0.18,0.02,0.8,0.7522000000000001
sbert_nlu_ru,0.18,0.04,0.78,0.7494000000000001
sbert_nlu_ru,0.18,0.06,0.76,0.7483000000000001
sbert_nlu_ru,0.18,0.08,0.7400000000000001,0.7473
sbert_nlu_ru,0.18,0.1,0.7200000000000001,0.746
sbert_nlu_ru,0.18,0.12,0.7000000000000001,0.7442000000000001
sbert_nlu_ru,0.18,0.14,0.68,0.7412000000000001
sbert_nlu_ru,0.18,0.16,0.66,0.7401
sbert_nlu_ru,0.18,0.18,0.6400000000000001,0.7401000000000001
sbert_nlu_ru,0.18,0.2,0.6200000000000001,0.7397
sbert_nlu_ru,0.18,0.22,0.6000000000000001,0.7386
