model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.08,0.36,0.56,0.8291000000000001
sbert,0.08,0.38,0.54,0.8232
sbert,0.08,0.4,0.52,0.8167000000000001
sbert,0.08,0.42,0.5,0.8110000000000002
sbert,0.08,0.44,0.48000000000000004,0.8051
sbert,0.08,0.46,0.46,0.8006
sbert,0.08,0.48,0.44000000000000006,0.7958
sbert,0.08,0.5,0.42000000000000004,0.7904000000000001
sbert,0.08,0.52,0.4,0.7851000000000001
sbert,0.08,0.54,0.38,0.7804000000000001
sbert,0.08,0.56,0.36,0.7757000000000001
sbert,0.08,0.58,0.3400000000000001,0.7703
sbert,0.08,0.6,0.32000000000000006,0.7657999999999999
sbert,0.08,0.62,0.30000000000000004,0.761
sbert,0.08,0.64,0.28,0.7562000000000001
sbert,0.08,0.66,0.26,0.7501
sbert,0.08,0.68,0.24,0.7455999999999999
sbert,0.08,0.7000000000000001,0.21999999999999997,0.7403
sbert,0.08,0.72,0.20000000000000007,0.7358
sbert,0.08,0.74,0.18000000000000005,0.731
sbert,0.08,0.76,0.16000000000000003,0.7261
sbert,0.08,0.78,0.14,0.7222999999999999
sbert,0.08,0.8,0.12,0.7178000000000001
sbert,0.08,0.8200000000000001,0.09999999999999998,0.7128
sbert,0.08,0.84,0.08000000000000007,0.7087
sbert,0.08,0.86,0.06000000000000005,0.704
sbert,0.08,0.88,0.040000000000000036,0.7001000000000001
sbert,0.08,0.9,0.020000000000000018,0.6959000000000001
sbert,0.08,0.92,0.0,0.6865999999999999
sbert,0.1,0.0,0.9,0.9167000000000001
sbert,0.1,0.02,0.88,0.9142
sbert,0.1,0.04,0.86,0.9107000000000001
sbert,0.1,0.06,0.8400000000000001,0.907
sbert,0.1,0.08,0.8200000000000001,0.9034000000000001
sbert,0.1,0.1,0.8,0.8987999999999999
sbert,0.1,0.12,0.78,0.8941
sbert,0.1,0.14,0.76,0.8889000000000001
sbert,0.1,0.16,0.74,0.8829000000000001
sbert,0.1,0.18,0.72,0.8773
sbert,0.1,0.2,0.7,0.8723000000000001
sbert,0.1,0.22,0.68,0.8667
sbert,0.1,0.24,0.66,0.8608
sbert,0.1,0.26,0.64,0.8546
sbert,0.1,0.28,0.62,0.8483
sbert,0.1,0.3,0.6000000000000001,0.8408000000000002
sbert,0.1,0.32,0.5800000000000001,0.8352
sbert,0.1,0.34,0.56,0.8295
sbert,0.1,0.36,0.54,0.8236000000000001
sbert,0.1,0.38,0.52,0.8173
sbert,0.1,0.4,0.5,0.8117000000000001
sbert,0.1,0.42,0.48000000000000004,0.8051
sbert,0.1,0.44,0.46,0.8008000000000001
sbert,0.1,0.46,0.44,0.796
sbert,0.1,0.48,0.42000000000000004,0.7908000000000001
sbert,0.1,0.5,0.4,0.7855000000000001
sbert,0.1,0.52,0.38,0.7809
sbert,0.1,0.54,0.36,0.7759000000000001
